"city","population"
"Moosseedorf",3645
"Münchenbuchsee",9749
"Urtenen-Schönbühl",5890
"Utzenstorf",4156
"Wiggiswil",98
"Wiler bei Utzenstorf",828
"Zielebach",326
"Zuzwil (BE)",578
"Adelboden",3500
"Aeschi bei Spiez",2123
"Frutigen",6692
"Kandergrund",791
"Kandersteg",1236
"Krattigen",1031
"Reichenbach im Kandertal",3469
"Beatenberg",1150
"Bönigen",2478
"Brienz (BE)",3019
"Brienzwiler",491
"Därligen",420
"Grindelwald",3761
"Gsteigwiler",420
"Gündlischwand",299
"Habkern",634
"Hofstetten bei Brienz",533
"Interlaken",5504
"Iseltwald",430
"Lauterbrunnen",2470
"Leissigen",952
"Lütschental",238
"Matten bei Interlaken",3777
"Niederried bei Interlaken",335
"Oberried am Brienzersee",456
"Ringgenberg (BE)",2629
"Saxeten",100
"Schwanden bei Brienz",578
"Unterseen",5562
"Wilderswil",2558
"Arni (BE)",937
"Biglen",1736
"Bowil",1365
"Brenzikofen",521
"Freimettigen",449
"Grosshöchstetten",3287
"Häutligen",252
"Herbligen",579
"Kiesen",864
"Konolfingen",4911
"Landiswil",634
"Linden",1307
"Mirchel",591
"Münsingen",11566
"Niederhünigen",626
"Oberdiessbach",3476
"Oberthal",761
"Oppligen",664
"Rubigen",2895
"Schlosswil",632
"Tägertschi",409
"Walkringen",1832
"Worb",11324
"Zäziwil",1632
"Oberhünigen",326
"Allmendingen",511
"Wichtrach",4089
"Clavaleyres",50
"Ferenbalm",1243
"Frauenkappelen",1241
"Golaten",295
"Gurbrü",254
"Kriechenwil",414
"Laupen",2821
"Mühleberg",2727
"Münchenwiler",471
"Neuenegg",4880
"Wileroltigen",385
"Belprahon",300
"Bévilard",1710
"Champoz",156
"Châtelat",104
"Corcelles (BE)",209
"Court",1422
"Crémines",531
"Eschert",366
"Grandval",341
"Loveresse",321
"Malleray",1987
"Monible",36
"Moutier",7553
"Perrefitte",453
"Pontenet",224
"Reconvilier",2217
"Roches (BE)",208
"Saicourt",604
"Saules (BE)",157
"Schelten",34
"Seehof",70
"Sornetan",128
"Sorvilier",262
"Souboz",135
"Tavannes",3522
"Rebévelier",45
"La Neuveville",3666
"Nods",721
"Plateau de Diesse",2053
"Aegerten",1781
"Bellmund",1546
"Brügg",4257
"Bühl",416
"Epsach",323
"Hagneck",406
"Hermrigen",254
"Jens",674
"Ipsach",3940
"Ligerz",527
"Merzligen",405
"Mörigen",882
"Nidau",6782
"Orpund",2649
"Port",3346
"Safnern",1854
"Scheuren",460
"Schwadernau",662
"Studen (BE)",2884
"Sutz-Lattrigen",1358
"Täuffelen",2653
"Walperswil",936
"Worben",2211
"Twann-Tüscherz",1095
"Därstetten",850
"Diemtigen",2142
"Erlenbach im Simmental",1683
"Oberwil im Simmental",813
"Reutigen",980
"Spiez",12549
"Wimmis",2468
"Stocken-Höfen",978
"Guttannen",317
"Hasliberg",1227
"Innertkirchen",1071
"Meiringen",4642
"Schattenhalb",597
"Boltigen",1353
"Lenk",2463
"St. Stephan",1346
"Zweisimmen",2935
"Gsteig",977
"Lauenen",816
"Saanen",6807
"Guggisberg",1553
"Rüschegg",1612
"Schwarzenburg",6773
"Belp",11108
"Burgistein",1031
"Gelterfingen",254
"Gerzensee",1184
"Gurzelen",817
"Jaberg",252
"Kaufdorf",1048
"Kehrsatz",4120
"Kirchdorf (BE)",881
"Kirchenthurnen",272
"Lohnstorf",218
"Mühledorf (BE)",258
"Mühlethurnen",1372
"Niedermuhlern",461
"Noflen",286
"Riggisberg",2401
"Rüeggisberg",1846
"Rümligen",438
"Seftigen",2163
"Toffen",2499
"Uttigen",1898
"Wattenwil",2728
"Wald (BE)",1184
"Eggiwil",2427
"Langnau im Emmental",9092
"Lauperswil",2672
"Röthenbach im Emmental",1241
"Rüderswil",2376
"Schangnau",903
"Signau",2745
"Trub",1359
"Trubschachen",1419
"Amsoldingen",788
"Blumenstein",1184
"Buchholterberg",1542
"Eriz",490
"Fahrni",796
"Heiligenschwendi",681
"Heimberg",6465
"Hilterfingen",4061
"Homberg",509
"Horrenbach-Buchen",256
"Oberhofen am Thunersee",2366
"Oberlangenegg",481
"Pohlern",263
"Schwendibach",255
"Sigriswil",4679
"Steffisburg",15515
"Teuffenthal (BE)",161
"Thierachern",2350
"Thun",42735
"Uebeschi",668
"Uetendorf",5932
"Unterlangenegg",927
"Wachseldorn",228
"Zwieselberg",282
"Forst-Längenbühl",751
"Affoltern im Emmental",1142
"Dürrenroth",1071
"Eriswil",1360
"Huttwil",4663
"Lützelflüh",4052
"Rüegsau",3087
"Sumiswald",5028
"Trachselwald",995
"Walterswil (BE)",541
"Wyssachen",1162
"Attiswil",1324
"Berken",42
"Bettenhausen",684
"Farnern",207
"Graben",305
"Heimenhausen",1016
"Hermiswil",99
"Herzogenbuchsee",6868
"Inkwil",628
"Niederbipp",4249
"Niederönz",1550
"Oberbipp",1653
"Ochlenberg",573
"Rumisberg",467
"Seeberg",1426
"Thörigen",1023
"Walliswil bei Niederbipp",218
"Walliswil bei Wangen",573
"Wangen an der Aare",2126
"Wangenried",410
"Wiedlisbach",2207
"Wolfisberg",186
"Doppleschwand",739
"Entlebuch",3296
"Flühli",1902
"Hasle (LU)",1751
"Romoos",695
"Schüpfheim",4053
"Werthenstein",1967
"Escholzmatt-Marbach",4346
"Aesch (LU)",1009
"Altwis",411
"Ballwil",2577
"Emmen",28701
"Ermensee",874
"Eschenbach (LU)",3547
"Hitzkirch",4832
"Hochdorf",8877
"Hohenrain",2418
"Inwil",2306
"Rain",2494
"Römerswil",1632
"Rothenburg",7227
"Schongau",913
"Adligenswil",5406
"Buchrain",6049
"Dierikon",1467
"Ebikon",12571
"Gisikon",1148
"Greppen",1050
"Honau",366
"Horw",13618
"Kriens",26751
"Lucerne",79478
"Malters",6861
"Meggen",6752
"Meierskappel",1301
"Root",4633
"Schwarzenberg",1676
"Udligenswil",2196
"Vitznau",1206
"Weggis",4181
"Beromünster",6033
"Büron",2211
"Buttisholz",3257
"Eich",1690
"Geuensee",2592
"Grosswangen",3074
"Hildisrieden",1969
"Knutwil",2077
"Mauensee",1161
"Neuenkirch",6185
"Nottwil",3443
"Oberkirch",3808
"Rickenbach (LU)",3061
"Ruswil",6636
"Schenkon",2678
"Schlierbach",755
"Sempach",4105
"Sursee",9079
"Triengen",4416
"Wolhusen",4143
"Alberswil",590
"Altbüron",951
"Altishofen",1531
"Dagmersellen",5103
"Ebersecken",415
"Egolzwil",1321
"Ettiswil",2486
"Fischbach",731
"Gettnau",1033
"Grossdietwil",853
"Hergiswil bei Willisau",1831
"Luthern",1327
"Menznau",2870
"Nebikon",2452
"Pfaffnau",2245
"Reiden",6650
"Roggliswil",617
"Schötz",3864
"Ufhusen",847
"Wauwil",1859
"Wikon",1416
"Zell (LU)",2001
"Willisau",7439
"Altdorf (UR)",8981
"Andermatt",1320
"Attinghausen",1591
"Bauen",170
"Bürglen (UR)",3917
"Erstfeld",3778
"Flüelen",1988
"Göschenen",434
"Gurtnellen",583
"Hospental",216
"Isenthal",529
"Realp",133
"Schattdorf",5009
"Seedorf (UR)",1806
"Seelisberg",684
"Silenen",2162
"Sisikon",394
"Spiringen",846
"Unterschächen",699
"Wassen",453
"Einsiedeln",14632
"Gersau",2118
"Feusisberg",4945
"Freienbach",15758
"Wollerau",7051
"Küssnacht (SZ)",12401
"Altendorf",6376
"Galgenen",4945
"Innerthal",198
"Lachen",8004
"Reichenburg",3350
"Schübelbach",8567
"Tuggen",3003
"Vorderthal",1014
"Wangen (SZ)",4764
"Alpthal",591
"Arth",10924
"Illgau",801
"Ingenbohl",8597
"Lauerz",1056
"Morschach",1093
"Muotathal",3469
"Oberiberg",841
"Riemenstalden",92
"Rothenthurm",2238
"Sattel",1828
"Schwyz",14663
"Steinen",3274
"Steinerberg",913
"Unteriberg",2324
"Alpnach",5736
"Engelberg",3989
"Giswil",3607
"Kerns",5800
"Lungern",2098
"Sachseln",4926
"Sarnen",9959
"Beckenried",3319
"Buochs",5370
"Dallenwil",1782
"Emmetten",1328
"Ennetbürgen",4484
"Ennetmoos",2095
"Hergiswil (NW)",5487
"Oberdorf (NW)",3101
"Stans",8112
"Stansstad",4417
"Wolfenschiessen",2089
"Glarus Nord",17198
"Glarus Süd",9859
"Glarus",12312
"Baar",22355
"Cham",15020
"Hünenberg",8804
"Menzingen",4335
"Neuheim",2006
"Oberägeri",5653
"Risch",9779
"Steinhausen",9213
"Unterägeri",8280
"Walchwil",3593
"Zug",27537
"Bussy (FR)",385
"Châbles",710
"Châtillon (FR)",405
"Cheiry",365
"Cheyres",1242
"Cugy (FR)",1496
"Domdidier",2884
"Dompierre (FR)",911
"Estavayer-le-Lac",6011
"Fétigny",878
"Gletterens",911
"Léchelles",629
"Lully (FR)",1036
"Ménières",340
"Montagny (FR)",2103
"Morens (FR)",137
"Murist",595
"Nuvilly",388
"Prévondavaux",65
"Rueyres-les-Prés",362
"Russy",211
"Saint-Aubin (FR)",1526
"Sévaz",249
"Surpierre",311
"Vallon",351
"Villeneuve (FR)",347
"Vuissens",228
"Les Montets",1333
"Delley-Portalban",971
"Vernay",1068
"Auboranges",275
"Billens-Hennens",659
"Chapelle (Glâne)",258
"Le Châtelard",372
"Châtonnaye",742
"Ecublens (FR)",304
"Grangettes",190
"Massonnens",453
"Mézières (FR)",1000
"Montet (Glâne)",364
"Romont (FR)",4841
"Rue",1336
"Siviriez",2153
"Ursy",2564
"Villaz-Saint-Pierre",1101
"Vuisternens-devant-Romont",2118
"Villorsonnens",1310
"Torny",851
"La Folliaz",899
"Haut-Intyamon",1424
"Pont-en-Ogoz",1665
"Botterens",504
"Broc",2442
"Bulle",20177
"Châtel-sur-Montsalvens",248
"Corbières",757
"Crésuz",301
"Echarlens",767
"Grandvillard",778
"Gruyères",2027
"Hauteville",561
"Jaun",667
"Marsens",1696
"Morlon",588
"Le Pâquier (FR)",1109
"Pont-la-Ville",583
"Riaz",2201
"La Roche",1449
"Sâles",1440
"Sorens",1006
"Vaulruz",994
"Vuadens",2153
"Bas-Intyamon",1190
"Val-de-Charmey",2295
"Arconciel",762
"Autafond",74
"Autigny",710
"Avry",1844
"Belfaux",2862
"Chénens",702
"Chésopelloz",126
"Corminboeuf",2140
"Corpataux-Magnedens",1237
"Corserey",384
"Cottens (FR)",1385
"Ependes (FR)",1095
"Farvagny",2130
"Ferpicloz",278
"Fribourg",36633
"Givisiez",3043
"Granges-Paccot",2926
"Grolley",1858
"Marly",7729
"Matran",1567
"Neyruz (FR)",2321
"Noréaz",597
"Pierrafortscha",149
"Ponthaux",681
"Le Mouret",3022
"Prez-vers-Noréaz",937
"Rossens (FR)",1242
"Le Glèbe",1189
"Senèdes",139
"Treyvaux",1439
"Villars-sur-Glâne",11975
"Villarsel-sur-Marly",84
"Vuisternens-en-Ogoz",938
"Hauterive (FR)",2268
"La Brillaz",1777
"La Sonnaz",1002
"Barberêche",514
"Courgevaux",1367
"Courlevon",305
"Courtepin",3503
"Cressier (FR)",836
"Fräschels",456
"Galmiz",630
"Gempenach",291
"Greng",157
"Gurmels",3927
"Jeuss",424
"Kerzers",4764
"Kleinbösingen",595
"Lurtigen",182
"Meyriez",597
"Misery-Courtion",1635
"Muntelier",951
"Murten",6450
"Ried bei Kerzers",1029
"Salvenach",502
"Ulmiz",403
"Villarepos",576
"Bas-Vully",2011
"Haut-Vully",1368
"Wallenried",451
"Alterswil",1994
"Brünisried",650
"Düdingen",7504
"Giffers",1431
"Bösingen",3346
"Heitenried",1366
"Oberschrot",1160
"Plaffeien",1944
