"city","population"
"Saas",741
"Luzein",1206
"St. Antönien",358
"Chur",34087
"Churwalden",2083
"Arosa",3310
"Maladers",502
"Tschiertschen-Praden",311
"Haldenstein",1003
"Trimmis",3100
"Untervaz",2407
"Zizers",3192
"Fläsch",595
"Jenins",867
"Maienfeld",2587
"Malans",2308
"Landquart",8458
"Grüsch",1921
"Schiers",2576
"Seewis im Prättigau",1378
"Breil/Brigels",1286
"Disentis/Mustér",2045
"Medel (Lucmagn)",422
"Sumvitg",1247
"Tujetsch",1542
"Trun",1221
"Aarau",20103
"Biberstein",1481
"Buchs (AG)",7262
"Densbüren",694
"Erlinsbach (AG)",3762
"Gränichen",7163
"Hirschthal",1493
"Küttigen",5866
"Muhen",3688
"Oberentfelden",7663
"Suhr",9673
"Unterentfelden",4004
"Baden",18522
"Bellikon",1588
"Bergdietikon",2404
"Birmenstorf (AG)",2727
"Ennetbaden",3167
"Fislisbach",5441
"Freienwil",942
"Gebenstorf",4801
"Killwangen",1825
"Künten",1622
"Mägenwil",2041
"Mellingen",4748
"Neuenhof",8360
"Niederrohrdorf",3649
"Oberrohrdorf",3929
"Obersiggenthal",8450
"Remetschwil",2053
"Spreitenbach",10930
"Stetten (AG)",1758
"Turgi",2937
"Untersiggenthal",6876
"Wettingen",20135
"Wohlenschwil",1458
"Würenlingen",4239
"Würenlos",5850
"Ehrendingen",4304
"Arni (AG)",1830
"Berikon",4519
"Bremgarten (AG)",7580
"Büttikon",949
"Dottikon",3571
"Eggenwil",904
"Fischbach-Göslikon",1473
"Hägglingen",2312
"Jonen",1966
"Niederwil (AG)",2441
"Oberlunkhofen",1956
"Oberwil-Lieli",2155
"Rudolfstetten-Friedlisberg",4319
"Sarmenstorf",2534
"Tägerig",1375
"Uezwil",428
"Unterlunkhofen",1277
"Villmergen",6448
"Widen",3581
"Wohlen (AG)",14879
"Zufikon",4250
"Islisberg",607
"Auenstein",1531
"Birr",4197
"Birrhard",663
"Bözen",743
"Brugg",10611
"Effingen",581
"Elfingen",271
"Habsburg",414
"Hausen (AG)",3117
"Lupfig",2189
"Mandach",310
"Mönthal",401
"Mülligen",1035
"Remigen",1064
"Riniken",1464
"Rüfenach",874
"Scherz",642
"Schinznach-Bad",1183
"Thalheim (AG)",748
"Veltheim (AG)",1415
"Villigen",2028
"Villnachern",1529
"Windisch",6732
"Bözberg",1508
"Schinznach",2237
"Beinwil am See",2944
"Birrwil",968
"Burg (AG)",993
"Dürrenäsch",1198
"Gontenschwil",2077
"Holziken",1258
"Leimbach (AG)",445
"Leutwil",741
"Menziken",5630
"Oberkulm",2491
"Reinach (AG)",8063
"Schlossrued",810
"Schmiedrued",1187
"Schöftland",3895
"Teufenthal (AG)",1583
"Unterkulm",2848
"Zetzwil",1274
"Eiken",2136
"Frick",5050
"Gansingen",972
"Gipf-Oberfrick",3349
"Herznach",1392
"Hornussen",870
"Kaisten",2567
"Laufenburg",3268
"Münchwilen (AG)",893
"Oberhof",586
"Oeschgen",910
"Schwaderloch",683
"Sisseln",1461
"Ueken",842
"Wittnau",1161
"Wölflinswil",988
"Zeihen",1060
"Mettauertal",1914
"Ammerswil",699
"Boniswil",1392
"Brunegg",683
"Dintikon",2019
"Egliswil",1332
"Fahrwangen",1964
"Hallwil",749
"Hendschiken",1013
"Holderbank (AG)",1001
"Hunzenschwil",3413
"Lenzburg",8626
"Meisterschwanden",2695
"Möriken-Wildegg",4209
"Niederlenz",4333
"Othmarsingen",2483
"Rupperswil",4784
"Schafisheim",2837
"Seengen",3632
"Seon",4795
"Staufen",2585
"Abtwil",946
"Aristau",1362
"Auw",1782
"Beinwil (Freiamt)",1047
"Besenbüren",563
"Bettwil",538
"Boswil",2553
"Bünzen",1009
"Buttwil",1174
"Dietwil",1214
"Geltwil",188
"Kallern",311
"Merenschwand",3356
"Mühlau",1019
"Muri (AG)",7246
"Oberrüti",1411
"Rottenschwil",783
"Sins",4182
"Waltenschwil",2592
"Hellikon",781
"Kaiseraugst",5481
"Magden",3790
"Möhlin",10455
"Mumpf",1289
"Obermumpf",1000
"Olsberg",356
"Rheinfelden",12174
"Schupfart",758
"Stein (AG)",2978
"Wallbach",1844
"Wegenstetten",1035
"Zeiningen",2220
"Zuzgen",851
"Aarburg",7193
"Attelwil",299
"Bottenwil",781
"Brittnau",3777
"Kirchleerau",760
"Kölliken",4262
"Moosleerau",877
"Murgenthal",2818
"Oftringen",12939
"Reitnau",1232
"Rothrist",8198
"Safenwil",3551
"Staffelbach",1024
"Strengelbach",4660
"Uerkheim",1323
"Vordemwald",1770
"Wiliberg",170
"Zofingen",10824
"Baldingen",279
"Böbikon",166
"Böttstein",3684
"Döttingen",3737
"Endingen",2403
"Fisibach",408
"Full-Reuenthal",802
"Kaiserstuhl",403
"Klingnau",3182
"Koblenz",1605
"Leibstadt",1310
"Lengnau (AG)",2588
"Leuggern",2099
"Mellikon",250
"Rekingen (AG)",979
"Rietheim",766
"Rümikon",246
"Schneisingen",1329
"Siglistorf",613
"Tegerfelden",1071
"Wislikofen",338
"Bad Zurzach",4136
"Arbon",14012
"Dozwil",665
"Egnach",4330
"Hefenhofen",1219
"Horn",2587
"Kesswil",1020
"Roggwil (TG)",2902
"Romanshorn",10353
"Salmsach",1350
"Sommeri",508
"Uttwil",1762
"Amriswil",12619
"Bischofszell",5608
"Erlen",3267
"Hauptwil-Gottshaus",1881
"Hohentannen",608
"Kradolf-Schönenberg",3329
"Sulgen",3575
"Zihlschlacht-Sitterdorf",2132
"Basadingen-Schlattingen",1731
"Diessenhofen",3575
"Schlatt (TG)",1600
"Aadorf",8418
"Felben-Wellhausen",2554
"Frauenfeld",24119
"Gachnang",3503
"Hüttlingen",811
"Matzingen",2588
"Neunforn",957
"Stettfurt",1145
"Thundorf",1329
"Uesslingen-Buch",1069
"Warth-Weiningen",1217
"Altnau",2067
"Bottighofen",2117
"Ermatingen",3033
"Gottlieben",297
"Güttingen",1485
"Kemmental",2297
"Kreuzlingen",20520
"Langrickenbach",1147
"Lengwil",1437
"Münsterlingen",3070
"Tägerwilen",4079
"Wäldi",1001
"Affeltrangen",2406
"Bettwiesen",1114
"Bichelsee-Balterswil",2693
"Braunau",711
"Eschlikon",4067
"Fischingen",2596
"Lommis",1127
"Münchwilen (TG)",5031
"Rickenbach (TG)",2610
"Schönholzerswilen",807
"Sirnach",7363
"Tobel-Tägerschen",1421
"Wängi",4306
"Wilen (TG)",2157
"Wuppenau",1090
"Berlingen",854
"Eschenz",1651
"Herdern",960
"Homburg",1468
"Hüttwilen",1561
"Mammern",616
"Müllheim",2692
"Pfyn",1969
"Raperswilen",406
"Salenstein",1264
"Steckborn",3669
"Wagenhausen",1658
"Amlikon-Bissegg",1299
"Berg (TG)",3199
"Birwinken",1349
"Bürglen (TG)",3461
"Bussnang",2189
"Märstetten",2599
"Weinfelden",10699
"Wigoltingen",2258
"Arbedo-Castione",4437
"Bellinzona",17744
"Cadenazzo",2439
"Camorino",2731
"Giubiasco",8460
"Gnosca",720
"Gorduno",727
"Gudo",803
"Isone",377
"Lumino",1373
"Moleno",116
"Monte Carasso",2734
"Pianezzo",591
"Preonzo",600
"Sant'Antonino",2288
"Sant'Antonio",222
"Sementina",3111
"Acquarossa",1856
"Blenio",1690
"Serravalle",2045
"Airolo",1557
"Bedretto",76
"Bodio",1044
"Dalpe",189
"Faido",3181
"Giornico",858
"Personico",350
"Pollegio",786
"Prato (Leventina)",418
"Quinto",991
"Sobrio",74
"Ascona",5450
"Brione (Verzasca)",188
"Brione sopra Minusio",539
"Brissago",1848
"Corippo",12
"Frasco",102
"Gordola",4410
"Gresso",35
"Lavertezzo",1236
"Locarno",15483
"Losone",6414
"Mergoscia",212
"Minusio",7212
"Mosogno",53
"Muralto",2818
"Orselina",761
"Ronco sopra Ascona",675
"Sonogno",97
"Tenero-Contra",2660
"Vergeletto",55
"Vogorno",276
"Onsernone",264
"Isorno",335
"Cugnasco-Gerra",2879
"Agno",4174
"Aranno",326
"Arogno",948
"Astano",293
"Bedano",1507
"Bedigliora",632
"Bioggio",2431
"Bissone",889
"Brusino Arsizio",469
"Cademario",718
"Cadempino",1496
"Canobbio",1963
"Caslano",4259
"Comano",2017
"Croglio",822
"Cureglia",1303
"Curio",537
"Grancia",496
"Gravesano",1222
"Lamone",1710
"Lugano",61837
"Magliaso",1467
"Manno",1244
"Maroggia",575
"Massagno",5942
"Melano",1359
"Melide",1669
"Mezzovico-Vira",1297
"Miglieglia",286
"Monteggio",888
"Morcote",729
"Muzzano",823
"Neggio",322
"Novaggio",807
"Origlio",1405
"Paradiso",3740
"Ponte Capriasca",1761
"Ponte Tresa",775
"Porza",1524
"Pura",1383
"Rovio",786
"Savosa",2142
"Sessa",681
"Sorengo",1861
"Capriasca",6366
"Torricella-Taverne",3071
"Vernate",581
"Vezia",1932
"Vico Morcote",370
"Collina d'Oro",4439
"Alto Malcantone",1344
"Monteceneri",4427
"Balerna",3303
"Castel San Pietro",2050
"Chiasso",7933
"Coldrerio",2711
"Mendrisio",14499
"Morbio Inferiore",4624
"Novazzano",2409
"Riva San Vitale",2539
"Stabio",4418
"Vacallo",3112
"Breggia",1959
"Biasca",6091
"Claro",2709
"Cresciano",640
"Iragna",557
"Lodrino",1697
"Osogna",1037
"Bosco/Gurin",51
"Campo (Vallemaggia)",55
"Cerentino",62
"Cevio",1155
"Linescio",51
"Maggia",2539
"Lavizzara",572
"Avegno Gordevio",1459
,0
,0
"Terre di Pedemonte",2566
"Centovalli",1192
"Gambarogno",5015
"Aigle",9703
"Bex",6670
"Chessel",359
"Corbeyrier",387
"Gryon",1202
"Lavey-Morcles",849
"Leysin",3988
"Noville",785
"Ollon",7135
"Ormont-Dessous",1025
"Ormont-Dessus",1432
"Rennaz",728
"Roche (VD)",1388
"Villeneuve (VD)",5057
"Yvorne",1028
"Apples",1241
"Aubonne",3011
"Ballens",468
"Berolle",295
"Bière",1501
"Bougy-Villars",416
"Féchy",825
"Gimel",1805
"Longirod",414
"Marchissy",448
"Mollens (VD)",295
"Montherod",519
"Saint-George",941
"Saint-Livres",686
"Saint-Oyens",320
"Saubraz",366
"Avenches",3587
"Cudrefin",1426
"Faoug",753
"Vully-les-Lacs",2530
"Bettens",405
"Bournens",324
"Boussens",913
"La Chaux (Cossonay)",397
"Chavannes-le-Veyron",127
"Chevilly",246
"Cossonay",3437
"Cottens (VD)",457
"Cuarnens",384
"Daillens",913
"Dizy",213
"Eclépens",1012
"Ferreyres",299
"Gollion",727
"Grancy",397
"L'Isle",989
"Lussery-Villars",374
"Mauraz",56
"Mex (VD)",639
"Moiry",271
"Mont-la-Ville",347
"Montricher",852
"Orny",368
"Pampigny",1068
"Penthalaz",2997
"Penthaz",1649
"Pompaples",795
"La Sarraz",2363
"Senarclens",431
"Sévery",210
"Sullens",875
"Vufflens-la-Ville",1183
"Assens",1016
"Bercher",1135
"Bioley-Orjulaz",460
"Bottens",1188
"Bretigny-sur-Morrens",739
"Cugy (VD)",2548
"Echallens",5368
"Essertines-sur-Yverdon",873
"Etagnières",1035
"Fey",589
"Froideville",1989
"Morrens (VD)",988
"Oulens-sous-Echallens",519
"Pailly",470
"Penthéréaz",374
"Poliez-Pittet",721
"Rueyres",251
"Saint-Barthélemy (VD)",760
"Villars-le-Terroir",830
"Vuarrens",844
"Montilliez",1552
"Goumoëns",888
"Bonvillars",511
"Bullet",591
"Champagne",960
"Concise",869
"Corcelles-près-Concise",297
"Fiez",389
"Fontaines-sur-Grandson",148
"Giez",399
"Grandevent",217
"Grandson",3163
"Mauborget",102
"Mutrux",130
"Novalles",101
"Onnens (VD)",476
"Provence",344
"Sainte-Croix",4660
"Tévenon",744
"Belmont-sur-Lausanne",3474
"Cheseaux-sur-Lausanne",3955
"Crissier",7402
"Epalinges",8790
"Jouxtens-Mézery",1353
"Lausanne",130421
"Le Mont-sur-Lausanne",6291
"Paudex",1399
"Prilly",11709
"Pully",17368
"Renens",20232
"Romanel-sur-Lausanne",3286
"Chexbres",2081
"Forel (Lavaux)",2007
"Lutry",9465
"Puidoux",2770
"Rivaz",341
"Saint-Saphorin (Lavaux)",332
"Savigny",3354
"Bourg-en-Lavaux",4995
"Aclens",498
"Bremblens",487
"Buchillon",632
"Bussigny",8122
"Bussy-Chardonney",387
"Chavannes-près-Renens",7058
"Chigny",331
"Clarmont",145
"Denens",673
"Denges",1555
"Echandens",2210
"Echichens",2506
"Ecublens",11427
"Etoy",2841
"Lavigny",885
"Lonay",2419
"Lully (VD)",758
"Lussy-sur-Morges",643
"Morges",14994
"Préverenges",5076
"Reverolle",350
"Romanel-sur-Morges",472
"Saint-Prex",5451
"Saint-Sulpice (VD)",3305
"Tolochenaz",1706
"Vaux-sur-Morges",171
"Villars-Sainte-Croix",658
"Villars-sous-Yens",553
"Vufflens-le-Château",798
"Vullierens",429
"Yens",1150
"Boulens",296
"Brenles",157
"Bussy-sur-Moudon",187
"Chavannes-sur-Moudon",213
"Chesalles-sur-Moudon",147
"Cremin",56
"Curtilles",297
"Dompierre (VD)",252
"Forel-sur-Lucens",154
"Hermenches",362
"Lovatens",128
"Lucens",3017
"Moudon",5202
"Ogens",268
"Prévonloup",151
"Rossenges",60
"Sarzens",85
"Syens",136
"Villars-le-Comte",154
"Vucherens",518
"Montanaire",2322
"Arnex-sur-Nyon",197
"Arzier-Le Muids",2392
"Bassins",1256
"Begnins",1617
"Bogis-Bossey",875
"Borex",879
"Chavannes-de-Bogis",1097
"Chavannes-des-Bois",797
"Chéserex",1211
"Coinsins",397
"Commugny",2756
"Coppet",3076
"Crans-près-Céligny",2108
"Crassier",1088
"Duillier",1057
"Eysins",1352
"Founex",3429
"Genolier",1818
"Gingins",1213
"Givrins",965
"Gland",11693
"Grens",367
"Mies",1908
"Nyon",19170
"Prangins",3935
"La Rippe",1065
"Saint-Cergue",2155
"Signy-Avenex",455
"Tannay",1522
"Trélex",1400
"Le Vaud",1244
"Vich",743
"L'Abergement",236
"Agiez",281
"Arnex-sur-Orbe",577
"Ballaigues",974
"Baulmes",1007
"Bavois",774
"Bofflens",189
"Bretonnières",214
"Chavornay",3783
"Les Clées",161
"Corcelles-sur-Chavornay",347
"Croy",315
"Juriens",300
"Lignerolle",369
"Montcherand",453
"Orbe",6547
"La Praz",162
"Premier",188
"Rances",434
"Romainmôtier-Envy",484
"Sergey",144
"Valeyres-sous-Rances",562
"Vallorbe",3411
"Vaulion",456
"Vuiteboeuf",524
"Carrouge (VD)",1025
"Corcelles-le-Jorat",423
"Essertes",327
"Ferlens (VD)",319
"Maracon",455
"Mézières (VD)",1148
"Montpreveyres",535
"Ropraz",368
"Servion",1823
"Vulliens",420
"Jorat-Menthue",1361
"Oron",4868
"Champtauroz",120
"Chevroux",413
"Corcelles-près-Payerne",1997
"Grandcour",788
"Henniez",276
"Missy",326
"Payerne",9146
"Trey",251
"Treytorrens (Payerne)",119
"Villarzel",398
"Valbroye",2776
"Château-d'Oex",3298
"Rossinière",551
"Rougemont",907
"Allaman",411
"Bursinel",453
"Bursins",748
"Burtigny",354
"Dully",562
"Essertines-sur-Rolle",663
"Gilly",996
"Luins",596
"Mont-sur-Rolle",2547
"Perroy",1388
"Rolle",5921
"Tartegnin",225
"Vinzel",341
"L'Abbaye",1326
"Le Chenit",4410
"Le Lieu",868
"Blonay",6023
"Chardonne",2772
"Corseaux",2142
"Corsier-sur-Vevey",3333
"Jongny",1449
"Montreux",25456
"Saint-Légier-La Chiésaz",5019
"La Tour-de-Peilz",10828
"Vevey",18594
"Veytaux",828
"Belmont-sur-Yverdon",341
"Bioley-Magnoux",153
"Chamblon",550
"Champvent",598
"Chavannes-le-Chêne",259
"Chêne-Pâquier",117
"Cheseaux-Noréaz",663
"Cronay",329
"Cuarny",166
"Démoret",128
"Donneloye",752
"Ependes (VD)",326
"Essert-Pittet",151
"Mathod",549
"Molondin",204
"Montagny-près-Yverdon",704
"Oppens",184
"Orges",258
"Orzens",198
"Pomy",694
"Rovray",146
"Suchy",462
"Suscévaz",193
"Treycovagnes",473
"Ursins",205
"Valeyres-sous-Montagny",665
"Valeyres-sous-Ursins",238
"Villars-Epeney",79
"Vugelles-La Mothe",118
"Yverdon-les-Bains",28486
"Yvonand",2731
"Brig-Glis",12728
"Eggerberg",342
"Naters",9254
"Ried-Brig",1989
"Simplon",325
"Termen",858
"Zwischbergen",87
"Ardon",2842
"Chamoson",3286
"Conthey",8054
"Nendaz",6005
"Vétroz",5190
"Bagnes",7834
"Bourg-Saint-Pierre",198
"Liddes",729
"Orsières",3078
"Sembrancher",938
"Vollèges",1740
"Bellwald",434
"Binn",156
"Blitzingen",74
"Ernen",537
"Fiesch",945
"Fieschertal",318
"Lax",292
"Niederwald",49
"Grafschaft",194
"Münster-Geschinen",490
"Reckingen-Gluringen",460
"Obergoms",680
"Les Agettes",330
"Ayent",3734
"Evolène",1711
"Hérémence",1401
"Saint-Martin (VS)",883
"Vex",1642
"Mont-Noble",922
"Agarn",802
"Albinen",268
"Ergisch",202
"Inden",124
"Leuk",3712
"Leukerbad",1586
"Oberems",134
"Salgesch",1393
"Varen",614
"Guttet-Feschel",443
"Gampel-Bratsch",1921
"Turtmann-Unterems",1121
"Bovernier",868
"Charrat",1526
"Fully",7974
"Isérables",866
"Leytron",2853
"Martigny",16897
"Martigny-Combe",2310
"Riddes",2785
"Saillon",2327
"Saxon",4903
"Trient",144
"Champéry",1252
"Collombey-Muraz",7750
"Monthey",16880
"Port-Valais",3246
"Saint-Gingolph",939
"Troistorrents",4256
"Val-d'Illiez",1802
"Vionnaz",2310
"Vouvry",3843
"Bister",30
"Bitsch",852
"Grengiols",466
"Riederalp",536
"Ausserberg",635
"Blatten",295
"Bürchen",724
"Eischoll",454
"Ferden",255
"Kippel",367
"Niedergesteln",684
"Raron",1865
"Unterbäch",409
"Wiler (Lötschen)",575
"Mörel-Filet",680
"Steg-Hohtenn",1559
"Bettmeralp",440
"Collonges",630
"Dorénaz",796
"Evionnaz",1170
"Finhaut",446
"Massongex",1685
"Saint-Maurice",4488
"Salvan",1215
"Vernayaz",1839
"Vérossaz",662
"Chalais",3249
"Chermignon",3008
"Chippis",1667
"Grône",2275
"Icogne",538
"Lens",3909
"Miège",1326
"Mollens (VS)",930
"Montana",2368
"Randogne",4246
"Saint-Léonard",2171
"Sierre",15945
"Venthône",1208
"Veyras",1736
"Anniviers",2622
"Arbaz",1109
"Grimisuat",2976
"Savièse",6939
"Sion",32167
"Veysonnaz",568
"Baltschieder",1237
"Eisten",216
"Embd",311
"Grächen",1408
"Lalden",662
"Randa",436
"Saas-Almagell",383
"Saas-Balen",399
"Saas-Fee",1710
"Saas-Grund",1094
"St. Niklaus",2325
"Stalden (VS)",1121
"Staldenried",551
"Täsch",1165
"Törbel",484
"Visp",7281
"Visperterminen",1401
"Zeneggen",268
"Zermatt",5786
,0
"Bevaix",3807
"Boudry",5052
"Brot-Dessous",105
"Corcelles-Cormondrèche",4662
"Cortaillod",4615
"Fresens",223
"Gorgier",1963
"Montalchez",257
"Peseux",5745
"Rochefort",1081
"Saint-Aubin-Sauges",2440
"Vaumarcus",271
"Milvignes",8912
"La Chaux-de-Fonds",38267
"Les Planchettes",228
"La Sagne",953
"Les Brenets",1100
"La Brévine",636
"Brot-Plamboz",240
"Le Cerneux-Péquignot",322
"La Chaux-du-Milieu",463
"Le Locle",10208
"Les Ponts-de-Martel",1278
"Cornaux",1571
"Cressier (NE)",1923
"Enges",257
"Hauterive (NE)",2599
"Le Landeron",4434
"Lignières",962
"Neuchâtel",33474
"Saint-Blaise",3258
"La Tène",4845
"Valangin",444
"Val-de-Ruz",15961
"La Côte-aux-Fées",449
"Les Verrières",702
"Val-de-Travers",10847
"Aire-la-Ville",1108
"Anières",2265
"Avully",1771
"Avusy",1443
"Bardonnex",2220
"Bellevue",3200
"Bernex",9640
"Carouge (GE)",20375
"Cartigny",867
"Céligny",623
"Chancy",1129
"Chêne-Bougeries",10530
"Chêne-Bourg",8072
"Choulex",1085
"Collex-Bossy",1652
"Collonge-Bellerive",7519
"Cologny",4830
"Confignon",4307
"Corsier (GE)",1917
"Dardagny",1498
"Geneva",189033
"Genthod",2691
"Le Grand-Saconnex",11847
"Gy",480
"Hermance",965
"Jussy",1182
"Laconnex",605
"Lancy",28909
"Meinier",2012
"Meyrin",21718
"Onex",17851
"Perly-Certoux",2993
"Plan-les-Ouates",10250
"Pregny-Chambésy",3530
"Presinge",627
"Puplinge",2041
"Russin",485
"Satigny",3874
"Soral",718
"Thônex",13587
"Troinex",2236
"Vandoeuvres",2578
"Vernier",33744
"Versoix",12879
"Veyrier",10215
"Boécourt",885
"Bourrignon",272
"Châtillon (JU)",452
"Corban",462
"Courchapoix",421
"Courrendlin",2595
"Courroux",3134
"Courtételle",2459
"Delémont",11809
"Develier",1394
"Ederswiler",119
"Mervelier",527
"Mettembert",114
"Movelier",379
"Pleigne",381
"Rebeuvelier",385
"Rossemaison",585
"Saulcy",258
"Soyhières",483
"Vellerat",71
"Haute-Sorne",6812
"Val Terbi",2612
"Le Bémont (JU)",319
"Les Bois",1137
"Les Breuleux",1414
"La Chaux-des-Breuleux",87
"Les Enfers",159
"Les Genevez (JU)",526
"Lajoux (JU)",680
"Montfaucon",581
"Muriaux",475
"Le Noirmont",1755
"Saignelégier",2560
"Saint-Brais",232
"Soubey",145
"Alle",1737
"Beurnevésin",134
"Boncourt",1274
"Bonfol",669
"Bure",677
"Coeuve",701
"Cornol",960
"Courchavon",298
"Courgenay",2180
"Courtedoux",740
"Damphreux",176
"Fahy",370
"Fontenais",1686
"Grandfontaine",373
"Lugnez",192
"Porrentruy",6703
"Rocourt",159
"Vendlincourt",546
"Basse-Allaine",1264
"Clos du Doubs",1278
"Haute-Ajoie",992
"La Baroche",1154
